st_date,blknum,accounts,storages,trienodes,codes,accountsize,storagesize,trienodesize,codesize
2015-07-30,1,8894,0,1,0,284629,0,181,0
2015-07-31,6912,9205,0,433,0,301349,0,67483,0
2015-08-01,13775,9361,0,651,0,309770,0,101355,0
2015-08-02,19068,9476,0,800,0,315958,0,125306,0
2015-08-03,24426,9563,0,915,0,320666,0,143655,0
2015-08-04,29706,9639,0,1020,0,324758,0,160033,0
2015-08-05,35074,9696,0,1097,0,327851,0,172198,0
2015-08-06,40309,9749,0,1168,0,330712,0,183412,0
2015-08-07,45425,9790,0,1225,0,332925,0,192269,0
2015-08-08,50614,10307,75,2033,20,359446,5813,312082,7566
2015-08-09,55870,10715,436,3061,84,383592,33790,449187,75461
2015-08-10,60993,10983,482,3484,115,398482,37355,511776,96609
2015-08-11,66248,11648,990,5087,153,430291,76725,719747,125991
2015-08-12,71528,13544,2655,9759,171,510346,205763,1322788,139311
2015-08-13,76652,13874,2805,10402,204,529726,217388,1412999,176945
2015-08-14,81938,14416,2934,11262,234,558546,227385,1539810,220933
2015-08-15,87747,14973,3046,12143,260,587746,236065,1669985,237255
2015-08-16,93129,15353,3084,12697,280,608003,239010,1754310,251310
2015-08-17,98261,15638,3109,13078,297,623493,240948,1814225,266099
2015-08-18,103608,15921,3359,13766,306,637957,260323,1905745,270990
2015-08-19,108556,16204,3610,14484,312,652579,279775,1999993,288037
2015-08-20,113748,16488,3769,15065,327,667758,292098,2080094,299814
2015-08-21,117772,16701,3999,15644,360,680818,309923,2155760,327071
2015-08-22,122860,16994,4305,16400,388,696758,333638,2255091,364862
2015-08-23,128131,17232,4618,17118,402,709718,357895,2347134,374130
2015-08-24,133144,17578,5020,18121,466,730322,389050,2473130,441928
2015-08-25,138328,17753,5123,18486,475,739384,397033,2523634,446041
2015-08-26,143425,17999,5316,19036,513,753771,411990,2599407,483666
2015-08-27,148428,18201,5454,19489,557,766622,422685,2659773,506187
2015-08-28,153136,18411,5640,19993,577,778795,437100,2727181,537239
2015-08-29,157789,18588,5706,20317,607,788938,442215,2773044,559465
2015-08-30,162118,18707,5781,20562,636,796134,448028,2807022,589330
2015-08-31,166273,18900,5860,20907,659,806504,454150,2856754,601376
2015-09-01,170395,19046,6127,21470,678,815214,474843,2923164,621410
2015-09-02,174333,19220,6433,22129,708,826352,498558,3002711,682977
2015-09-03,177910,19355,6530,22434,736,834798,506075,3043522,746804
2015-09-04,181293,19489,6634,22739,762,843014,514135,3084260,796098
2015-09-05,185736,19630,7098,23542,802,853579,550095,3183004,865903
2015-09-06,190657,19781,7249,23921,850,863597,561798,3233250,897057
2015-09-07,195635,19904,7390,24262,868,871210,572725,3276383,917714
2015-09-08,200469,20127,7745,25021,946,887893,600238,3370798,1026511
2015-09-09,205392,20249,7834,25291,964,894782,607135,3407993,1045500
2015-09-10,210427,20419,8040,25780,987,905133,623100,3470619,1088179
2015-09-11,215430,20518,8178,26117,1000,910672,633795,3512802,1108495
2015-09-12,220571,20704,8377,26607,1020,921610,649218,3576704,1148797
2015-09-13,225597,20833,8520,26976,1055,929680,660300,3623774,1186949
2015-09-14,230568,21035,8823,27642,1090,942032,683783,3707220,1251386
2015-09-15,235419,21167,9010,28061,1125,949387,698275,3761468,1314493
2015-09-16,240261,21324,9040,28305,1141,957835,700600,3798333,1334821
2015-09-17,245217,21450,9138,28611,1160,965262,708195,3839583,1348501
2015-09-18,250025,21551,9207,28826,1187,971678,713543,3868749,1367015
2015-09-19,254914,21720,9394,29318,1240,983594,728035,3932007,1448221
2015-09-20,259992,21817,9495,29557,1289,991168,735863,3962752,1492909
2015-09-21,265297,21932,9721,29983,1342,1000787,753378,4014242,1613915
2015-09-22,270372,22050,9914,30392,1399,1010069,768335,4064658,1692686
2015-09-23,275423,22178,10045,30749,1438,1018410,778488,4110387,1801413
2015-09-24,280588,22318,10232,31200,1469,1027218,792980,4167583,1828046
2015-09-25,285609,22452,10367,31559,1515,1037376,803443,4214180,1900452
2015-09-26,290735,22564,10738,32187,1565,1045752,832195,4290700,1941820
2015-09-27,295665,22625,10808,32359,1569,1049098,837620,4313400,1945540
2015-09-28,300438,22694,11168,32929,1584,1053322,865520,4381267,1962500
2015-09-29,305176,22803,11450,33453,1605,1059854,887375,4446444,1994510
2015-09-30,309816,22919,11622,33829,1628,1066251,900705,4494966,2022874
2015-10-01,314573,23001,11947,34386,1662,1071614,925893,4559268,2061195
2015-10-02,319783,23094,12381,35085,1680,1077011,959528,4639735,2093082
2015-10-03,324926,23174,12598,35484,1686,1081405,976345,4689836,2109309
2015-10-04,330003,23297,12756,35838,1697,1088454,988590,4736794,2147092
2015-10-05,334889,23383,12868,36104,1702,1092894,997270,4771324,2156664
2015-10-06,339898,23513,13049,36528,1754,1101734,1011298,4825342,2200203
2015-10-07,344704,23608,13328,37093,1769,1107664,1032920,4895144,2227568
2015-10-08,349708,23699,13419,37273,1788,1113160,1039973,4917138,2277594
2015-10-09,354860,23761,13860,37960,1805,1117518,1074150,4990455,2328563
2015-10-10,359765,23834,14017,38269,1816,1122048,1086318,5029083,2347493
2015-10-11,364661,23894,14080,38432,1826,1125594,1091200,5050774,2349690
2015-10-12,369734,23950,13907,38312,1838,1129024,1077793,5048281,2354102
2015-10-13,374882,24052,14117,38685,1901,1138264,1094068,5091552,2432417
2015-10-14,379990,24249,14563,39560,1940,1151683,1128633,5198001,2548246
2015-10-15,384924,24464,15169,40659,1986,1166112,1175598,5323758,2573405
2015-10-16,389850,24684,16080,42167,2059,1182389,1246200,5492014,2770900
2015-10-17,394733,24779,17059,43632,2094,1190070,1322073,5646356,2862149
2015-10-18,399789,24865,17289,44066,2154,1196976,1339898,5698983,3030615
2015-10-19,404734,24982,17454,44475,2190,1204800,1352685,5750760,3135877
2015-10-20,409709,25212,17653,45011,2244,1219952,1368108,5822804,3296340
2015-10-21,414699,25312,17986,45570,2289,1228901,1393915,5887463,3430853
2015-10-22,419689,25572,18127,46086,2311,1243672,1404843,5959445,3479082
2015-10-23,424524,25719,18950,47374,2384,1256443,1468625,6105087,3646140
2015-10-24,429787,25921,19538,48422,2506,1275664,1514195,6228531,3808080
2015-10-25,434958,26361,19907,49491,2629,1308438,1542793,6370464,3978881
2015-10-26,440054,26683,20252,50398,2778,1332744,1569530,6488115,4024163
2015-10-27,444962,26987,20556,51196,2809,1350763,1593090,6592836,4070866
2015-10-28,450182,27195,21898,53282,2904,1369746,1697095,6822389,4218345
2015-10-29,455149,27367,22656,54557,2952,1382491,1755840,6975054,4254734
2015-10-30,460307,27631,23193,55657,2993,1399339,1797458,7112224,4307598
2015-10-31,465539,28202,24022,57572,3082,1435603,1861705,7360738,4377613
2015-11-01,470668,28590,24960,59404,3128,1459182,1934400,7579369,4484955
2015-11-02,475826,29098,25776,61219,3151,1486658,1997640,7802618,4540568
2015-11-03,480850,29394,26392,62466,3187,1504608,2045380,7956622,4573405
2015-11-04,485935,29747,27183,64035,3232,1526746,2106683,8149879,4593888
2015-11-05,491060,30028,27590,64979,3265,1543885,2138225,8271774,4611072
2015-11-06,496163,30230,27953,65729,3318,1558755,2166358,8364411,4680781
2015-11-07,501305,30384,32234,71783,3367,1570614,2498135,9032550,4738319
2015-11-08,506227,30924,37587,79982,3505,1607195,2912993,9943025,4966510
2015-11-09,511248,31561,46966,93901,3579,1645902,3639865,11488389,5132843
2015-11-10,516272,31857,48015,95709,3624,1664315,3721163,11699879,5208862
2015-11-11,521325,32035,48667,96841,3716,1681230,3771693,11832741,5380018
2015-11-12,526353,32205,50003,98887,3760,1694214,3875233,12059476,5401304
2015-11-13,531432,32319,52068,101794,3794,1703038,4035270,12394903,5424867
2015-11-14,536551,32455,52848,103035,3855,1714470,4095720,12534109,5478161
