month,blknum,accounts,storages,trienodes,codes,accountsize,storagesize,trienodesize,codesize
2015-07-01 00:00:00,1,8894,0,1,0,177893,0,181,0
2015-08-01 00:00:00,13775,9361,0,651,0,193606,0,101355,0
2015-09-01 00:00:00,170395,19046,6127,21470,678,509509,251524,2923164,621410
2015-10-01 00:00:00,314573,23001,11947,34386,1662,669759,532155,4559268,2061195
2015-11-01 00:00:00,470668,28590,24960,59404,3128,911989,1143696,7579369,4484955
2015-12-01 00:00:00,622214,34777,77506,140192,4334,1170822,3555380,16617182,5847621
2016-01-01 00:00:00,778483,39896,349056,519931,5904,1417491,13459201,55181584,7959593
2016-02-01 00:00:00,934646,53771,478937,713730,7948,1968984,18541601,76076614,10844584
2016-03-01 00:00:00,1080339,83736,521789,815421,12129,3150501,20686208,88906266,14870576
2016-04-01 00:00:00,1253721,140810,619859,1031098,17648,5214967,24966604,115261944,30199959
2016-05-01 00:00:00,1434393,177973,703589,1195349,21654,6509628,28833359,135162618,40717575
2016-06-01 00:00:00,1620940,273306,906370,1591426,33859,10030991,38206355,183752733,64198817
2016-07-01 00:00:00,1801799,396774,1283616,2272950,82343,16113496,55712796,263637356,98824454
2016-08-01 00:00:00,1988752,502533,1431728,2619323,111102,20666578,63383652,307370252,124000348
2016-09-01 00:00:00,2176170,570826,1641750,2998493,118931,23219211,74518737,353988291,136091410
2016-10-01 00:00:00,2357373,633247,1757573,3241134,125411,25502117,79519305,383660315,146308011
2016-11-01 00:00:00,2543934,772521,1849324,3681968,153439,30740701,83445129,438211414,159018901
2016-12-01 00:00:00,2724709,773924,1927250,3686211,167766,30788830,87020295,438762265,166030861
2017-01-01 00:00:00,2912407,863907,2131898,4084522,183986,34241571,97116969,487505504,178403576
2017-02-01 00:00:00,3100154,945157,2311953,4445806,193015,37021130,105333489,531253601,191478575
2017-03-01 00:00:00,3269188,1011916,2650216,4998002,201822,39430686,120236786,594179994,207868871
2017-04-01 00:00:00,3454529,1285298,3035655,5898731,220606,48326984,137487101,707664160,229053420
2017-05-01 00:00:00,3629091,1564731,3534125,6965117,259333,58403940,159607382,838575326,255787769
2017-06-01 00:00:00,3800776,2293038,4864749,9736696,447591,89677231,218744059,1177026309,454002979
2017-07-01 00:00:00,3955159,3684442,7091381,14563423,747221,146565112,319390872,1777753408,770955850
2017-08-01 00:00:00,4101695,4845403,9654121,19459580,1036062,197176041,435057552,2372013692,1011500262
2017-09-01 00:00:00,4225038,6600970,12514450,25451202,1514068,276279284,562037347,3115150020,1290122966
2017-10-01 00:00:00,4326061,8232182,16401416,32756665,1925558,344675585,725120446,3984701407,1506149275
2017-11-01 00:00:00,4467005,9911928,21245407,41504978,2365733,418855397,932940101,5009353284,1743269239
2017-12-01 00:00:00,4652926,12478079,27442023,53464071,3045219,533087797,1199468254,6422358510,2027610227
2018-01-01 00:00:00,4832686,18287549,33785004,70241135,3916869,739133951,1498752510,8587214333,2481352234
2018-02-01 00:00:00,5008422,25697357,40250247,89514699,4681274,983657425,1776974254,11090278503,2917992354
2018-03-01 00:00:00,5174125,29153024,48675610,105701024,5288023,1116322199,2130489606,13003128549,3405376133
2018-04-01 00:00:00,5357795,31783790,58105862,122114315,5761013,1217812244,2528099702,14893524517,3774149543
2018-05-01 00:00:00,5534863,34635569,66811830,137799523,6440348,1336731386,2899340126,16724975045,4164002350
2018-06-01 00:00:00,5710964,37540211,78269299,157356873,6617368,1433104724,3359032383,18955064359,4360188042
2018-07-01 00:00:00,5883490,40043937,90123646,176745227,6824310,1516722568,3845540215,21149155651,4592880639
2018-08-01 00:00:00,6065980,42085508,106840012,202243783,7070506,1589787995,4524741706,23941896543,4845095312
2018-09-01 00:00:00,6249399,43984788,118661108,220741416,7234395,1651918173,5007695260,26002818591,5033882390
2018-10-01 00:00:00,6430273,45408788,130241782,238391907,7414331,1702562718,5479024106,27941293425,5276857928
2018-11-01 00:00:00,6620476,47015862,139887702,253634204,7678412,1762199115,5877044713,29640634106,5625373679
2018-12-01 00:00:00,6803256,48949766,148121268,267186665,8634307,1850624466,6231017608,31193824005,6001358990
2019-01-01 00:00:00,6988615,51265439,156580463,281609953,9886491,1952019282,6590263835,32863390655,6329451456
2019-02-01 00:00:00,7156137,52661949,164093343,293602954,10298481,1999284980,6913723755,34226859951,6519714209
2019-03-01 00:00:00,7280860,53750572,169436065,302232610,10587990,2039761216,7148827900,35216696010,6741398360
2019-04-01 00:00:00,7479257,55684474,178826640,317436781,11274517,2118199028,7557184784,36955024713,7078625725
2019-05-01 00:00:00,7671850,57972376,187432982,332120399,11973695,2202222606,7930103431,38662722786,7396145451
2019-06-01 00:00:00,7870425,60653876,196632983,348071187,12446871,2293333069,8330148630,40537476678,7845968562
2019-07-01 00:00:00,8062293,63455685,203977595,361638774,12947552,2391520001,8642731385,42154094003,8303476544
2019-08-01 00:00:00,8261512,65587717,211707567,374941928,13445739,2466502331,8966419100,43693805230,8650449050
2019-09-01 00:00:00,8461047,67773946,219516654,388416477,13907367,2546935538,9305179051,45265756154,9123667314
2019-10-01 00:00:00,8653171,69470681,225178086,398260968,14116812,2605639707,9552009188,46426713031,9371810712
2019-11-01 00:00:00,8849471,71888800,235145935,414830251,15033440,2704403124,9996070439,48361284296,9736826079
2019-12-01 00:00:00,9029510,73666980,245033965,430570285,15573907,2771773902,10441648752,50169396243,10113039635
2020-01-01 00:00:00,9193266,76388030,254621812,447078241,16202686,2871804641,10873072086,52126117769,10381773487
2020-02-01 00:00:00,9393154,78154878,265285235,463643712,17150239,2945075729,11353014800,54024327639,10714485841
2020-03-01 00:00:00,9581792,79711094,275651273,479723814,17975696,2996251508,11807609428,55842010216,10975186001
2020-04-01 00:00:00,9782602,82435739,284948690,495829178,19944063,3106057582,12213291253,57736127109,11337576084
2020-05-01 00:00:00,9976964,84902771,298365955,517110854,21026428,3194079630,12784211549,60156045907,11660954804
2020-06-01 00:00:00,10176690,87800630,313531380,541220493,21673122,3297683239,13442887048,62920489320,12032800382
2020-07-01 00:00:00,10370274,91310062,328250191,565238262,22784333,3434236722,14092149652,65731284486,12481433384
2020-08-01 00:00:00,10570485,95061870,345186903,593108540,24095943,3573236820,14847856547,68972089883,12910784072
2020-09-01 00:00:00,10771925,99349807,357201040,615095309,26044798,3740009481,15390692133,71617075912,13363760974
2020-10-01 00:00:00,10966874,102053027,366442723,631186742,27286437,3832686834,15812373878,73525765404,13723235873
2020-11-01 00:00:00,11167817,106560051,376873778,651171157,29732192,4015034365,16285769858,75966024067,14233609474
2020-12-01 00:00:00,11363270,110530511,387103449,670236239,31756958,4156285846,16748900591,78273922999,14662428291
2021-01-01 00:00:00,11565019,113114926,396826210,686808265,32526957,4213485689,17194798852,80232368698,15000447264
2021-02-01 00:00:00,11766939,116280577,406337366,703827265,33222379,4287019487,17636590057,82278478795,15384837311
2021-03-01 00:00:00,11948960,120133967,415329540,721036219,34121302,4396469603,18056887382,84391902787,15725358719
2021-04-01 00:00:00,12150245,124329990,428074591,743873170,34844887,4517570541,18639912532,87121962801,16036219943
2021-05-01 00:00:00,12344945,130332945,438808503,766368659,36354408,4715150374,19142840166,89939741472,16380094758
2021-06-01 00:00:00,12545219,135453907,450437499,788910062,38068453,4875302852,19704996309,92728906730,16768603810
2021-07-01 00:00:00,12738509,139764968,463595432,812420427,40766731,5044011872,20315159531,95529611318,17370410144
2021-08-01 00:00:00,12936340,141656373,481364667,839057972,41809811,5074890851,21116952956,98511705071,17728854250
2021-09-01 00:00:00,13136427,144439129,506266261,876256984,42155974,5166779505,22176110840,102637639463,18045195031
2021-10-01 00:00:00,13330090,147474941,534017209,917710696,42513233,5278616620,23335410501,107205104451,18372413615
2021-11-01 00:00:00,13527859,151349767,557640762,954933922,42815137,5413553750,24339811257,111403464411,18660243338
2021-12-01 00:00:00,13717847,155507906,576926219,986726355,43173863,5558702973,25188478801,115072594465,18962768650
2022-01-01 00:00:00,13916166,159428086,599686336,1022896009,43666980,5702819163,26170905429,119166683016,19370069083
2022-02-01 00:00:00,14116761,162794030,624381357,1061046476,44123430,5830811507,27207536639,123403876957,19751982795
2022-03-01 00:00:00,14297759,165593192,645820039,1094000322,44605158,5942170813,28113628233,127055280965,20181855732
2022-04-01 00:00:00,14497034,168575136,664829327,1123888188,45024874,6052867497,28888327177,130366982905,20641318565
2022-05-01 00:00:00,14688630,171238417,685101113,1154817321,45359434,6151373095,29765117405,133823483681,21045006660
2022-06-01 00:00:00,14881677,173991218,706014841,1186793880,45722312,6252003185,30692273198,137424548024,21419060743
2022-07-01 00:00:00,15053226,176120273,727006412,1218153042,45933389,6327492580,31630810173,140924116844,21708377517
2022-08-01 00:00:00,15253306,178484008,752511256,1256055174,46207993,6406743365,32789792023,145157420523,22078103626
2022-09-01 00:00:00,15449618,180717133,775606345,1290322989,46484561,6480084702,33846930728,148996285339,22499406217
2022-10-01 00:00:00,15649595,182774644,801584759,1328256304,46720535,6547407346,35035387755,153221246918,22928545515
2022-11-01 00:00:00,15871480,186050454,830513768,1371857049,47330724,6667231442,36318446337,158109447080,23485324483
2022-12-01 00:00:00,16086234,190471634,859374255,1417356960,49179108,6853476634,37547768039,163221235143,24004187579
2023-01-01 00:00:00,16308190,194563590,888523077,1463442013,51022217,7028781351,38799480633,168369741067,24508709871
2023-02-01 00:00:00,16530248,197659726,911427649,1499125031,52263768,7158037534,39824668265,172390847857,24973132806
2023-03-01 00:00:00,16730072,200004055,930059121,1527736863,52688909,7244222679,40676003023,175631456820,25306464379
2023-04-01 00:00:00,16950603,202650002,950097009,1558590215,53096645,7339066889,41592151042,179134834044,25694282771
2023-05-01 00:00:00,17162287,206365918,972748686,1594839542,54696068,7499379835,42596090550,183258792369,26221501893
2023-06-01 00:00:00,17382266,209030719,986940839,1617883952,55173408,7598570442,43283740625,185953178872,26823568068
2023-07-01 00:00:00,17595510,212839340,1008114667,1651985169,56574558,7755456321,44232213815,189869056929,27391877576
2023-08-01 00:00:00,17816434,215705863,1025029672,1679057301,57097562,7859535092,44985267055,192953455737,27961136458
2023-09-01 00:00:00,18037988,218347035,1039464544,1702341625,57635251,7957167396,45660792316,195651727700,28497746554
2023-10-01 00:00:00,18251965,221587305,1055738761,1728868984,58725965,8086078638,46396534840,198720994315,29060206396
2023-11-01 00:00:00,18473543,224607637,1071638918,1754550248,59624051,8204170953,47131815742,201699618665,29582621119
2023-12-01 00:00:00,18687851,226929071,1082996876,1773276649,59844512,8284008931,47681472616,203898119594,29955198812
2024-01-01 00:00:00,18908895,229671329,1094384403,1792695235,60067781,8375576962,48232640519,206197656287,30261615663
2024-02-01 00:00:00,19129889,232681999,1106884300,1813985983,60349638,8478202616,48815262108,208696961349,30552429927
2024-03-01 00:00:00,19336607,235455697,1118501926,1833705843,60561185,8572028382,49360510686,211014725622,30846442701
2024-04-01 00:00:00,19557289,239230754,1127033035,1850697503,60758013,8695048262,49790251611,213126418425,31078835755
2024-05-01 00:00:00,19771560,242651622,1137423114,1869711953,61043720,8807632784,50295607723,215425324128,31314604494
2024-06-01 00:00:00,19993250,246667970,1151782379,1894892567,61619677,8943635474,50952340971,218405602413,31636153313
2024-07-01 00:00:00,20207949,249881618,1162083304,1913501543,61869373,9043324952,51465834974,220657247999,32000036536
2024-08-01 00:00:00,20429973,253008444,1170424353,1929391947,62263542,9145782353,51893669286,222609039168,32405832904
2024-09-01 00:00:00,20651994,256599767,1182733537,1951251722,63113827,9271632589,52464757512,225203527967,32852285890
2024-10-01 00:00:00,20866919,259635926,1191416890,1967408931,63455910,9372293347,52887540271,227161643139,33292491892
2024-11-01 00:00:00,21089069,262626075,1204047534,1988920474,63613190,9466770106,53507357712,229717117757,33662681621
2024-12-01 00:00:00,21303934,265998796,1214112255,2007555586,63773617,9574527615,54002028361,231978943325,33942163408
2025-01-01 00:00:00,21525891,269799956,1223374452,2025657435,63952365,9696456904,54447232920,234197271073,34160258174
2025-02-01 00:00:00,21747950,273688264,1233886642,2045554566,64179156,9823123730,54962539169,236630122360,34434499062
2025-03-01 00:00:00,21948292,278972883,1253092128,2079124556,66269580,10038241554,55787136068,240554571256,34842496550
2025-04-01 00:00:00,22170335,285876091,1278493775,2122675959,69743006,10340288350,56856119819,245647972252,35440242316
2025-05-01 00:00:00,22385294,291781976,1298726808,2157848132,72134169,10583805471,57717424610,249793136706,35930335905
2025-06-01 00:00:00,22606143,296557838,1314141534,2185290628,73498941,10767148791,58406144060,253057844625,36415490791
